HeaterCurrent,temperature,Vtc1,Vtc2,
-50e-3,400,353.123e-6, 245.7e-6
-40e-3,400,351.677e-6,244.4e-6
-35e-3,400,351.054e-6,244.0e-6
-30e-3,400,350.538e-6,243.5e-6
-25e-3,400,350.143e-6,243.1e-6
-20e-3,400,349.724e-6,242.9e-6
-15e-3,400,349.573e-6,242.8e-6
-10e-3,400,349.356e-6,242.5e-6
0,400,349.261e-6,242.4e-6
2.5e-3,400,349.320e-6,242.4e-6
5e-3,400,349.353e-6,242.5e-6
10e-3,400,349.371e-6,242.5e-6
15e-3,400,349.583e-6,242.8e-6
20e-3,400,349.925e-6,242.9e-6
25e-3,400,350.250e-6,243.3e-6
30e-3,400,350.52e-6,243.5e-6
35e-3,400,350.805e-6,243.6e-6
40e-3,400,351.340e-6,244.1e-6
50e-3,400,352.792e-6,245.3e-6
-50e-3,300,0,187.6e-6
-45e-3,300,0,186.9e-6
-40e-3,300,0,186.4e-6
-35e-3,300,0,186e-6
-30e-3,300,0,185.7e-6
-25e-3,300,0,185.5e-6
-20e-3,300,0,185.3e-6
-15e-3,300,0,184.8e-6
-10e-3,300,0,184.5e-6
-5e-3,300,0,184.5e-6
0,300,0,184.5e-6
5e-3,300,0,184.5e-6
10e-3,300,0,184.5e-6
15e-3,300,0,184.8e-6
20e-3,300,0,185.0e-6
25e-3,300,0,185.3e-6
30e-3,300,0,185.5e-6
35e-3,300,0,185.7e-6
40e-3,300,0,186.4e-6
45e-3,300,0,186.7e-6
50e-3,300,0,187.4e-6
